,Portfolio Manager Meter ID,Usage/Quantity,Cost ($),
480,31548250,186627.43,112337.17,
481,31548250,140527,86716.18,
482,31548250,125254.15,78089.14,
483,31548250,102728.42,65500.28,
484,31548250,80252.84,49776.07,
485,31548250,188003.49,117335.05,
486,31548250,308846.52,200406.24,
487,31548250,110245.05,74442.05,
488,31548250,73917.81,62967.81,
489,31548250,82491.39,60529.69,
490,31548250,96503.31,63383.52,
491,31548250,64224.04,41403.58,
492,31548250,7477.25,5386.94,
493,31548250,47117.19,29293.55,
494,31548250,58922.65,36878.53,
495,31548250,84591.74,49215.85,
496,31548250,123225.98,69346.55,
497,31548250,99130.31,57578.82,
498,31548250,83474.44,50727.04,
499,31548250,58866.69,37201.76,
500,31548250,107135.01,66144.66,
501,31548250,92537.8,54153.93,
502,31548250,87034.37,48247.07,
503,31548250,37818.09,21370.96,
504,31548250,94162.07,50047.36,
505,31548250,50326.31,27768.48,
506,31548250,122420.13,65093.91,
507,31548250,118080.14,59683.61,
508,31548250,205443.3,111784.91,
509,31548250,206467.02,128184.13,
510,31548250,55478.31,31917.03,
511,31548250,80650.79,53720.89,
512,31548250,206047.99,135051.99,
513,31548250,227227.82,138641.63,
514,49325021,176.84,175.67,
515,49325021,193.1,206.98,
516,49325021,316.49,318.19,
517,49325021,250.01,234.16,
518,49325021,261.56,240.3,
519,49325021,152.46,143.62,
520,49325021,53.37,59.05,
521,49325021,54.31,59.01,
522,49325021,1108.09,953.09,
523,49325021,310.18,288.26,
524,49325021,233.35,210.13,
525,49325021,255.82,242.96,
526,49325021,232.08,226.9,
527,49325021,155.47,149.99,
528,49325021,334.37,344.84,
529,49325021,219.55,207.08,
530,49325021,271.28,234.19,
531,49325021,130.13,120.35,
532,49325021,49.18,53.29,
533,49325021,52.12,56.29,
534,49325021,129.25,119.53,
535,49325021,207.19,186.17,
536,49325021,261.6,234.88,
537,49325021,298.98,284.26,
538,49325021,200.06,221.56,
539,49325021,155.62,162.91,
540,49325021,327.01,312.66,
541,49325021,226.28,214.97,
542,49325021,265.23,230.27,
543,49325021,170.01,150.87,
544,49325021,34.5,43,
545,49325021,17.74,28.96,
546,49325021,136.68,117.68,
547,49325021,133.68,117.69,
548,49325021,220.37,202.4,
549,49325021,267.1,247.92,
550,49325021,165.33,155.89,
551,49325021,125,115.74,
552,49325021,309.59,263.6,
553,49325021,141.68,125.27,
554,49325021,75.63,69.86,
555,49325021,62.85,61.44,
556,49325021,47.13,49.56,
557,49325021,20.91,116.72,
558,49325021,116.26,119.28,
559,49325117,4980.9,4173.23,
560,49325117,1905.79,1963.74,
561,49325117,3757.95,3323.36,
562,49325117,2788.96,2373.07,
563,49325117,3612.52,2440.73,
564,49325117,1844.28,1280.94,
565,49325117,1111.29,831.8,
566,49325117,1187.47,862.08,
567,49325117,1606.26,1111.27,
568,49325117,3446.47,2256.9,
569,49325117,3211.43,2102.8,
570,49325117,2935.61,2531.28,
571,49325117,2085.57,1970.09,
572,49325117,1828.84,1767.2,
573,49325117,3394.14,3054.45,
574,49325117,2420.25,2066.23,
575,49325117,3101.41,1959.88,
576,49325117,1369.52,945.3,
577,49325117,726.21,556.51,
578,49325117,1061.12,774.98,
579,49325117,1693.84,1142.33,
580,49325117,3243.87,2115.5,
581,49325117,3079.58,2049.9,
582,49325117,3255.36,2756.94,
583,49325117,2004.76,2149.57,
584,49325117,1842.17,1870.8,
585,49325117,2835.81,2403.37,
586,49325117,2498.59,2141.4,
587,49325117,3432.14,2149.68,
588,49325117,2168.15,1377.46,
589,49325117,1577.5,1042.36,
590,49325117,1564.02,976.44,
591,49325117,1061.64,1345,
592,49325117,1349.34,1084.94,
593,49325117,2019.57,1749.94,
594,49325117,1935.99,1630.71,
595,49325117,2480.89,1891.79,
596,49325117,2213.28,1473.22,
597,49325117,8042.29,4646.74,
598,49325117,217.86,250.6,
599,49325117,1580.56,899.8,
600,49325117,1743.72,940.55,
601,49325117,1572.36,925.51,
602,49325117,1540.91,1021.62,
603,49325117,1322.43,835.06,
604,49325117,2648.46,1842.48,
605,49325117,2162.93,1489.61,
606,49325117,1864.41,1235.47,
607,49325377,4.19,15.93,
608,49325377,20.99,32.71,
609,49325377,12.62,23.53,
610,49325377,0,12.39,
611,49325377,126.06,122.23,
612,49325377,12.62,23.25,
613,49325377,158.01,150.59,
614,49325377,10.44,21.35,
615,49325377,11.49,22.14,
616,49325377,9.4,20.43,
617,49325377,23.02,31.94,
618,49325377,4.19,15.97,
619,49325377,4.18,16.11,
620,49325377,8.4,20.17,
621,49325377,78.86,88.58,
622,49325377,1.05,13.77,
623,49325377,11.52,21.48,
624,49325377,11.54,21.63,
625,49325377,68.02,69.09,
626,49325377,0,12.03,
627,49325377,61.5,63.17,
628,49325377,20.93,29.62,
629,49325377,0,12.03,
630,49325377,10.45,23.66,
631,49325377,4.19,19.07,
632,49325377,8.41,23.08,
633,49325377,14.72,27.75,
634,49325377,12.63,25.83,
635,49325377,11.58,24.82,
636,49325377,12.59,19.06,
637,49325377,28.23,37.99,
638,49325377,22.95,32.93,
639,49325377,2.09,17.04,
640,49325377,12.53,25.07,
641,49325377,24.01,46.71,
642,49325377,0,5.82,
643,49325377,5.23,20.35,
644,49325377,1.05,16.96,
645,49325377,6.3,20.79,
646,49325377,14.69,26.91,
647,49325377,23.11,33.11,
648,49325377,11.52,24.49,
649,49325377,34.57,40.66,
650,49325377,19.86,30.11,
651,49325377,14.61,27.29,
652,49325377,40.77,49.23,
653,49325377,1.05,17.45,
654,49325377,0,16.7,
655,49325377,45,45,
656,49325377,1.05,18.07,
657,49440466,0,2.89,
658,49440466,0,12.39,
659,49440466,0,12.39,
660,49440466,0,12.44,
661,49440466,0,12.44,
662,49440466,0,12.44,
663,49440466,0,12.5,
664,49440466,0,13.04,
665,49440466,0,13.04,
666,49440466,0,12.9,
667,49440466,3.14,14.62,
668,49440466,0,12.03,
669,49440466,0,12.03,
670,49440466,0,12.03,
671,49440466,0,12.03,
672,49440466,0,12.03,
673,49440466,0,12.03,
674,49440466,0,14.93,
675,49440466,0,14.99,
676,49440466,0,15.46,
677,49440466,0,15.46,
678,49440466,0,15.46,
679,49440466,3.16,16.36,
680,49440466,0,15.46,
681,49440466,0,15.46,
682,49440466,0,15.46,
683,49440466,0,15.46,
684,49440466,0,15.47,
685,49440466,0,15.75,
686,49440466,0,15.79,
687,49440466,0,16.2,
688,49440466,0,16.2,
689,49440466,0,16.2,
690,49440466,0,16.2,
691,49440466,0,16.2,
692,49440466,0,16.2,
693,49440466,0,16.2,
694,49440466,0,16.46,
695,49440466,0,16.67,
696,49440466,0,16.67,
697,49440466,0,16.67,
698,49440466,0,16.68,
699,49440466,0,17.19,
700,49440466,0,17.19,
701,49450360,0,4.56,
702,49450360,0,12.44,
703,49450360,0,12.44,
704,49450360,0,12.5,
705,49450360,0,13.04,
706,49450360,0,13.04,
707,49450360,0,12.9,
708,49450360,0,12.03,
709,49450360,0,12.03,
710,49450360,0,12.03,
711,49450360,0,12.03,
712,49450360,0,12.03,
713,49450360,0,12.03,
714,49450360,0,12.03,
715,49450360,0,14.93,
716,49450360,0,14.99,
717,49450360,0,15.46,
718,49450360,0,15.46,
719,49450360,0,15.46,
720,49450360,0,15.46,
721,49450360,0,15.46,
722,49450360,0,15.46,
723,49450360,0,15.46,
724,49450360,0,15.46,
725,49450360,0,15.47,
726,49450360,0,15.75,
727,49450360,0,15.79,
728,49450360,0,16.2,
729,49450360,0,16.2,
730,49450360,0,16.2,
731,49450360,0,16.2,
732,49450360,0,16.2,
733,49450360,0,16.2,
734,49450360,0,16.2,
735,49450360,0,16.46,
736,49450360,0,16.67,
737,49450360,0,16.67,
738,49450360,0,16.67,
739,49450360,0,16.68,
740,49450360,0,17.19,
741,49450360,0,17.19,
742,49327857,554.64,544.28,
743,49327857,689.1,625.21,
744,49327857,263.92,251.92,
745,49327857,8.37,32.08,
746,49327857,73.11,87.54,
747,49327857,149.35,151.56,
748,49327857,597.39,532.39,
749,49327857,1292.57,1189.19,
750,49327857,456.84,446.93,
751,49327857,342.45,330.28,
752,49327857,859.05,885.84,
753,49327857,632.38,595.57,
754,49327857,598.08,513.83,
755,49327857,199.4,190.03,
756,49327857,155.91,154.85,
757,49327857,415.9,377.3,
758,49327857,228.28,213.91,
759,49327857,307.64,282.64,
760,49327857,866.43,762.15,
761,49327857,645.01,605.98,
762,49327857,429.44,468.99,
763,49327857,342.77,352.37,
764,49327857,496.29,468.59,
765,49327857,418.89,392.72,
766,49327857,500.98,436.67,
767,49327857,309.59,277.51,
768,49327857,162.04,160.3,
769,49327857,557.16,483.1,
770,49327857,452.22,376.67,
771,49327857,1011.86,880.52,
772,49327857,130.55,119.05,
773,49327857,198.82,191.16,
774,49327857,182.78,172.28,
775,49327857,538.36,448.36,
776,49327857,416.09,458.03,
777,49327857,64.72,80.29,
778,49327857,326.16,293.32,
779,49327857,388.89,348.08,
780,49327857,395.54,388.53,
781,49327857,480.3,466.64,
782,49327857,170.73,174.65,
783,31548252,0,0,
784,31548252,0,0,
785,31548252,0,0,
